,Armidale Regional (A),Bathurst Regional (A),Bayside (A),Blacktown (C),Blayney (A),Blue Mountains (C),Bogan (A),Bourke (A),Brewarrina (A),Broken Hill (C),Burwood (A),Camden (A),Campbelltown (C) (NSW),Canada Bay (A),Canterbury-Bankstown (A),Central Coast (C) (NSW),Central Darling (A),Cessnock (C),Cobar (A),Coonamble (A),Correctional settings,Cumberland (A),Dubbo Regional (A),Fairfield (C),Forbes (A),Georges River (A),Gilgandra (A),Goulburn Mulwaree (A),Hawkesbury (C),Hornsby (A),Hunters Hill (A),Inner West (A),Kempsey (A),Kiama (A),Ku-ring-gai (A),Lake Macquarie (C),Lane Cove (A),Lithgow (C),Liverpool (C),Maitland (C),Mid-Coast (A),Mid-Western Regional (A),Mosman (A),Narromine (A),Newcastle (C),North Sydney (A),Northern Beaches (A),Orange (C),Parkes (A),Parramatta (C),Penrith (C),Port Stephens (A),Queanbeyan-Palerang Regional (A),Randwick (C),Ryde (C),Shellharbour (C),Strathfield (A),Sutherland Shire (A),Sydney (C),The Hills Shire (A),Walgett (A),Warren (A),Waverley (A),Willoughby (C),Wingecarribee (A),Wollondilly (A),Wollongong (C),Woollahra (A)
2021-08-01,,,2.0,16.0,,,,,,,,2.0,20.0,2.0,49.0,,,,,,,27.0,,15.0,,8.0,,,,,,4.0,,,,,,,22.0,,,,,,,,2.0,,,8.0,2.0,,,,1.0,,7.0,1.0,1.0,2.0,,,1.0,1.0,,,,
2021-08-02,,,3.0,11.0,,,,,,,1.0,8.0,11.0,2.0,64.0,,,,,,,40.0,,12.0,,2.0,,,,,,4.0,,,,,,,17.0,,,,,,,,,,,3.0,11.0,,,,1.0,,5.0,2.0,3.0,,,,2.0,2.0,,,,
2021-08-03,,,5.0,18.0,,,,,,,,2.0,15.0,,79.0,,,,,,,42.0,,17.0,,3.0,,,,,,4.0,,,,,,,11.0,,,,,,,,1.0,,,15.0,10.0,,,,,,3.0,,1.0,4.0,,,,3.0,,,3.0,
2021-08-04,,,8.0,19.0,,1.0,,,,,2.0,2.0,10.0,1.0,49.0,8.0,,,,,,44.0,,25.0,,4.0,,,,,,6.0,,,,,,,26.0,1.0,,,,,,,,,,13.0,16.0,,,,1.0,,2.0,1.0,2.0,1.0,,,,,,,,
2021-08-05,,,4.0,30.0,,,,,,,,3.0,16.0,,94.0,1.0,,,,,,42.0,,20.0,,10.0,,,,,,7.0,,,,1.0,,,35.0,3.0,,,,,1.0,,6.0,,,17.0,21.0,,,,3.0,,,,4.0,1.0,,,1.0,,,,,
2021-08-06,,,9.0,33.0,,1.0,,,,,3.0,2.0,12.0,1.0,66.0,,,,,,,37.0,,27.0,,11.0,,,,,,7.0,,,1.0,,,,22.0,2.0,,,,,3.0,,,,,20.0,27.0,,,,1.0,,3.0,2.0,4.0,2.0,,,1.0,1.0,,,,
2021-08-07,2.0,,2.0,18.0,,,,,,,,4.0,10.0,1.0,62.0,3.0,,,,,,38.0,,24.0,,4.0,,,,,,4.0,,,1.0,1.0,1.0,,18.0,,,,,,6.0,,3.0,,,7.0,26.0,2.0,,,2.0,,1.0,2.0,1.0,3.0,,,2.0,,,,,
2021-08-08,1.0,,16.0,30.0,,,,,,,,3.0,14.0,2.0,53.0,,,,,,,23.0,,21.0,,3.0,,,,,,2.0,,,1.0,2.0,,,29.0,2.0,,,,,5.0,,4.0,,,12.0,20.0,1.0,,1.0,6.0,,1.0,1.0,,,,,1.0,,,,,2.0
2021-08-09,,,15.0,42.0,,,,,,,2.0,5.0,20.0,1.0,66.0,,,,,,,72.0,,16.0,,13.0,,,,1.0,,3.0,,,1.0,2.0,2.0,,24.0,,,,,,4.0,,,,,17.0,28.0,,,5.0,4.0,,7.0,2.0,5.0,2.0,,,3.0,,,,,3.0
2021-08-10,,,8.0,45.0,,1.0,,,,,,1.0,10.0,4.0,79.0,2.0,,,,,,42.0,1.0,26.0,,5.0,,,1.0,,,4.0,,,1.0,11.0,1.0,,17.0,1.0,1.0,,,,8.0,1.0,1.0,,,13.0,40.0,,,1.0,3.0,1.0,1.0,3.0,1.0,1.0,,,4.0,,,,,
